testName	seed	initInt	finalInt	nCircles	rStart	rEnd	biasType	biasSigma	ampType	ampParam1	ampParam2	growRate	brightStep	ROIspacing	inSmall	inLarge	onBound	outAll	isNegative
Growth‐vs‐Brightness	106	494.171	-1848.93	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	4	6	2	14	1
Growth‐vs‐Brightness	107	806.906	9253.36	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	6	7	2	13	0
Growth‐vs‐Brightness	108	1368.49	1858.27	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	4	5	2	15	0
Growth‐vs‐Brightness	109	190.707	-1757.06	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	6	7	2	13	1
Growth‐vs‐Brightness	110	2046.13	17366	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	8	11	2	9	0
Growth‐vs‐Brightness	111	-222.021	-13086.7	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	3	7	4	13	1
Growth‐vs‐Brightness	112	-236.094	-10425.9	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	2	5	3	15	1
Growth‐vs‐Brightness	113	-322.3	-10356.8	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	4	6	2	14	1
Growth‐vs‐Brightness	114	189.992	-5266.59	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	5	7	3	13	1
Growth‐vs‐Brightness	115	-598.194	-19877.5	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	3	9	5	11	1
Growth‐vs‐Brightness	116	-856.452	-17055.8	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	3	5	4	15	1
Growth‐vs‐Brightness	117	433.124	-2873.65	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	2	2	1	18	1
Growth‐vs‐Brightness	118	2781.88	25271.2	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	6	6	0	14	0
Growth‐vs‐Brightness	119	1796.56	4140.31	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	5	5	1	15	0
Growth‐vs‐Brightness	120	1285.1	9573.05	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	5	6	1	14	0
Growth‐vs‐Brightness	121	-279.148	-12002.2	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	2	5	3	15	1
Growth‐vs‐Brightness	122	-1947.97	-17092.4	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	2	6	5	14	1
Growth‐vs‐Brightness	123	1332.09	11576.7	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	9	12	4	8	0
Growth‐vs‐Brightness	124	2542.34	10880.1	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	7	9	3	11	0
Growth‐vs‐Brightness	125	1079.91	8410.01	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	5	7	2	13	0
Growth‐vs‐Brightness	126	608.712	-11490.9	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	2	5	3	15	1
Growth‐vs‐Brightness	127	1115.51	9727.18	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	5	5	0	15	0
Growth‐vs‐Brightness	128	849.741	6199.02	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	4	6	2	14	0
Growth‐vs‐Brightness	129	750.001	154.052	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	4	6	3	14	1
Growth‐vs‐Brightness	130	1781.7	6009.84	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	4	5	1	15	0
Growth‐vs‐Brightness	131	1089.82	1392.27	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	7	9	3	11	0
Growth‐vs‐Brightness	132	110.167	4899.81	20	5	6	uniform	NaN	uniform	0	10	0.001	0.05	"1.1,1.1,1.1,1.1,1.1"	3	5	1	15	0
