testName	seed	initInt	finalInt	nCircles	rStart	rEnd	biasType	biasSigma	ampType	ampParam1	ampParam2	growRate	brightStep	ROIspacing	inSmall	inLarge	onBound	outAll	isNegative
ROI‐Spacing	4201	-576.764	-31925.5	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	0	4	3	16	1
ROI‐Spacing	4202	-165.461	-32006	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	3	2	17	1
ROI‐Spacing	4203	2098.94	38110.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	3	0	17	0
ROI‐Spacing	4204	2296.57	28023.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	2	2	0	18	0
ROI‐Spacing	4205	1484.67	4.00789	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	5	0	15	1
ROI‐Spacing	4206	82.5925	9995.33	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	7	2	13	0
ROI‐Spacing	4207	1717.59	14020.3	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	5	1	15	0
ROI‐Spacing	4208	632.817	-21937.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	2	2	18	1
ROI‐Spacing	4209	-1259.69	-59715.8	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	0	2	0	18	1
ROI‐Spacing	4210	2043.73	29935.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	6	2	14	0
ROI‐Spacing	4211	2025.48	50477.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	6	6	0	14	0
ROI‐Spacing	4212	174.44	9101.64	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	6	2	14	0
ROI‐Spacing	4213	1391.59	11324.1	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	5	0	15	0
ROI‐Spacing	4214	817.16	20168.3	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	6	3	14	0
ROI‐Spacing	4215	1507	12111.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	6	2	14	0
ROI‐Spacing	4216	497.995	13339	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	6	3	14	0
