testName	seed	initInt	finalInt	nCircles	rStart	rEnd	biasType	biasSigma	ampType	ampParam1	ampParam2	growRate	brightStep	ROIspacing	inSmall	inLarge	onBound	outAll	isNegative
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
Amplitude‐Distribution	0	1474.78	23861.8	20	5	15	uniform	NaN	uniform	0	5	0.01	0.1	"1.1,1.1,1.1,1.1,1.1"	3	3	1	17	0
